,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_960745502,1,0.01691780506112983,0.16432452,3.6665488841042526,4.7805315e-09,0.3920034,0.03564568608999252,0.2755512669682503,0.12541582
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_960745502,2,0.010528790178142011,0.038764566,6.736958733269381,1.8828814e-09,0.1800633,0.0037621494848281145,0.06091460399329662,0.046502236
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_960745502,3,0.04018609247303273,0.018661197,10.941957085641254,4.2433385e-08,0.22777903,0.001123567286413163,0.012864034622907639,0.04048634
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_759352143,0,0.00953224656874041,0.13226508,6.60740879055843,6.731415e-08,0.60071886,0.01751323649659753,0.20844348520040512,0.16034783
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_759352143,1,0.02793665575356441,0.07954958,9.278597977024504,4.3019105e-07,0.68445194,0.008338265586644411,0.0826470460742712,0.13236648
10,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_759352143,2,0.003909435717735166,0.05797556,4.969394503154617,3.320914e-08,0.18526551,0.013083233265206218,0.09791124239563942,0.053434942
11,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_759352143,3,0.006503164283964913,0.035668455,7.607155839276711,7.9337537e-10,0.21224144,0.00471618864685297,0.04344464000314474,0.043829117
12,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_37078787,0,0.016787885799504076,0.15620187,9.223044735953636,6.472902e-07,1.3275297,0.016592711675912142,0.11998439580202103,0.27778476
13,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_37078787,1,0.02477371708660947,0.10429998,8.078735261975998,4.775992e-08,0.66728026,0.010787273989990354,0.15370066091418266,0.13630868
14,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_37078787,2,0.013321261943679219,0.058933005,10.862246973109675,8.44671e-08,0.7156306,0.0051900704856961966,0.0558542488142848,0.12666537
15,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_37078787,3,-0.0030170214643938653,0.049045693,11.8184670042705,3.5562673e-09,0.76030415,0.0066435609478503466,0.036870927549898624,0.10924492
0,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_433611252,0,-0.00012326188641931246,0.23551425,5.943242595950791,7.020713e-09,0.9292615,0.0060097117675468326,0.3875284492969513,0.30360323
1,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_433611252,1,0.00018643171537868763,0.06361153,7.556523792899919,1.4245292e-10,0.36321503,0.00528782035689801,0.09153634309768677,0.08766168
2,MP-PDE,MP-PDE,False,False,False,[1 1],[1],0,False,[1 1 1],[1],0,[8],36,376563683,perlin_433611252,2,-0.00011384342168097028,0.14644122,7.041570031754802,2.6079218e-07,0.7375786,0.027339729946106672,0.21484873443841934,0.14288716
