,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
14,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_37078787,2,0.6564998782495575,0.0007474224,37.67728180445479,6.508003e-10,0.0027814172,0.00018463000742485747,0.0011950813641306013,0.00065801595
15,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_37078787,3,0.6230151703154688,0.0007074024,37.78793894161574,3.1974423e-10,0.0028086687,0.00010980376828229055,0.0010822890908457339,0.0007363586
0,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_433611252,0,0.5324478490991977,0.008085238,27.62180603606824,3.326619e-10,0.019568399,0.0025075916782952845,0.01148369419388473,0.0053344336
1,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_433611252,1,0.5608631037430761,0.0009153448,36.815403267820315,3.5527137e-13,0.0027095121,0.0001095310872187838,0.0015638872282579541,0.0007713951
2,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_433611252,2,0.5856875647285442,0.0048189545,29.84348960686082,1.2503335e-08,0.016028805,0.0006042943859938532,0.00930150505155325,0.004793196
3,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_433611252,3,0.5907472732713448,0.0036838069,30.892437630693482,4.8799507e-09,0.014156111,0.0004648471876862459,0.005910229287110269,0.004270249
4,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_960745502,0,0.688532639471497,0.0019779573,33.66007401205231,8.0495965e-10,0.009735911,0.00026837122277356684,0.002821718342602253,0.0024894779
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_960745502,1,0.7665207287691203,0.0009804876,36.538431303805595,3.007017e-11,0.003280323,0.00014951803677831776,0.0016685118316672742,0.0009765981
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_960745502,2,0.40593977348013643,0.0007561286,37.58438990410668,2.6284397e-10,0.0022973423,0.0002452054395689629,0.001272411405807361,0.000587025
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_960745502,3,-0.6855139998478734,0.0008200947,37.02657249061318,4.78218e-07,0.0022330612,0.0003169454794260673,0.0012518987932708114,0.00055778405
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_759352143,0,0.6031483468194538,0.0015455037,34.57326980631904,4.7805315e-11,0.0087203095,0.0002686399675440043,0.001754852186422795,0.0019583357
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_759352143,1,0.5313949578789791,0.00070861005,37.833652213916366,6.265509e-09,0.002243461,0.0002776084147626534,0.0010488880798220634,0.0005228764
10,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_759352143,2,0.7557597637565336,0.0004374542,39.90260921526133,1.7012667e-09,0.0023362911,5.290547323966166e-05,0.0005432954203570262,0.00056624215
11,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_759352143,3,0.7178690386290565,0.00045329652,39.688833428689165,2.2737368e-11,0.0022770918,3.51673197656055e-05,0.0007044252124615014,0.0005192985
12,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_37078787,0,0.6476399786211644,0.0018047101,33.87310510865526,3.7107526e-09,0.009607585,0.00039876911614555866,0.0018982372421305627,0.0022786697
13,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_37078787,1,0.7874593696942633,0.00046699555,39.62501567487499,2.0520474e-11,0.002222191,2.658597986737732e-05,0.0008040772227104753,0.0005245684
14,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_37078787,2,0.7015454020364518,0.00064940774,38.28776857060267,3.5527137e-11,0.002298531,0.0001587218212080188,0.0009333864727523178,0.00059194386
15,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,293277182,perlin_37078787,3,0.687766205228793,0.00058589876,38.606378530888016,1.3656631e-09,0.002596758,0.00011441325477790087,0.0008754411683185026,0.00065960526
0,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_433611252,0,0.6136529527257383,0.0066809827,28.45033063605492,4.2675765e-09,0.017143993,0.002112557995133102,0.00953743583522737,0.004542185
1,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,930192929,perlin_433611252,1,0.4362060315904469,0.0011751822,35.730198409518465,3.1127456e-10,0.0031259672,0.00021671708236681297,0.001984856673516333,0.000913737
