,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
2,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_433611252,2,0.009410025337301842,0.1450467,7.083125329053955,4.583876e-08,0.747634,0.02615975309163332,0.2172091268002987,0.14163637
3,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_433611252,3,-0.004555798989753779,0.13516125,9.88242779360884,6.394496e-07,1.3243154,0.029955736361443996,0.08687269687652588,0.23598866
4,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_960745502,0,0.015411228389307086,0.227743,4.723858278877001,8.881784e-10,0.681681,0.0701481532305479,0.3405269980430603,0.17277204
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_960745502,1,0.017073576278114122,0.16429849,3.6672365685724406,1.374297e-06,0.38532576,0.03576625883579254,0.2791411206126213,0.12509617
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_960745502,2,0.011483462115499776,0.038727168,6.741151076948197,2.0520474e-11,0.18462558,0.003976685809902847,0.058965444564819336,0.046900857
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_960745502,3,0.04188258913244702,0.018628214,10.94963963600183,4.980393e-09,0.23330654,0.0010424177162349224,0.012801179429516196,0.041014995
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_759352143,0,0.0097460079788535,0.13223654,6.6083455668708595,8.5197327e-10,0.60967076,0.018348216079175472,0.2052646204829216,0.16014719
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_759352143,1,0.02827586052143294,0.07952183,9.280113512888237,2.6906491e-08,0.675613,0.008590045385062695,0.08129989169538021,0.13240752
10,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_759352143,2,0.004564607622665751,0.05793743,4.972251968063707,1.1754332e-07,0.18315928,0.013176048407331109,0.09784648008644581,0.05304508
11,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_759352143,3,0.0074695400677993185,0.03563376,7.6113814262641055,1.0544704e-07,0.20733638,0.00475379778072238,0.045027016662061214,0.043197118
12,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_37078787,0,0.01694561383095028,0.1561768,9.223741519017576,6.943438e-09,1.3142569,0.016705571673810482,0.12147729471325874,0.27688935
13,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_37078787,1,0.025027312345122565,0.104272865,8.079864271113271,2.1534575e-08,0.67602646,0.011579047190025449,0.1509729065001011,0.13543928
14,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,576137147,perlin_37078787,2,0.013837318538944099,0.058902185,10.864518392971048,7.9148776e-10,0.7246855,0.0048386515118181705,0.05778812803328037,0.12818635
