-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
CudaCodeGen::kernel35(CudaCodeGen::CpuScalarTensor<f...         0.00%       0.000us         0.00%       0.000us       0.000us     255.000us         0.42%     255.000us      63.750us           0 b           0 b           0 b           0 b             4  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           384  
void at_cuda_detail::cub::DeviceReduceKernel<at_cuda...         0.00%       0.000us         0.00%       0.000us       0.000us     214.000us         0.35%     214.000us       4.458us           0 b           0 b           0 b           0 b            48  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us      96.000us         0.16%      96.000us       2.000us           0 b           0 b           0 b           0 b            48  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      53.000us         0.09%      53.000us       0.294us           0 b           0 b           0 b           0 b           180  
void at_cuda_detail::cub::DeviceCompactInitKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.000us         0.08%      48.000us       1.000us           0 b           0 b           0 b           0 b            48  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us     726.000us         1.20%     726.000us      15.125us           0 b           0 b           0 b           0 b            48  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     117.000us         0.19%     117.000us      14.625us           0 b           0 b           0 b           0 b             8  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     733.000us         1.21%     733.000us      22.906us           0 b           0 b           0 b           0 b            32  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      40.000us         0.07%      40.000us       2.500us           0 b           0 b           0 b           0 b            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      20.915ms        34.55%      20.915ms      40.221us           0 b           0 b           0 b           0 b           520  
CudaCodeGen::kernel36(CudaCodeGen::Tensor<float, 1>,...         0.00%       0.000us         0.00%       0.000us       0.000us     150.000us         0.25%     150.000us      37.500us           0 b           0 b           0 b           0 b             4  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     625.000us         1.03%     625.000us      52.083us           0 b           0 b           0 b           0 b            12  
CudaCodeGen::kernel37(CudaCodeGen::Tensor<float, 1>,...         0.00%       0.000us         0.00%       0.000us       0.000us      96.000us         0.16%      96.000us      24.000us           0 b           0 b           0 b           0 b             4  
